Month,Year,Title,Topic
7.0,1966.0,Tentative Notes on a Two Sector Model with Induced Technical Progress,ML
6.0,1986.0,Testing between Competing Models of Wage and Employment Determination in Unionized Markets,ML
5.0,2017.0,Testing-Based Forward Model Selection,ML
6.0,1903.0,The Adjustment of Crop Statistics: II,ML
6.0,1993.0,The Aggregate Implications of Machine Replacement: Theory and Evidence,ML
8.0,2015.0,The Anatomy of French Production Hierarchies,ML
7.0,2015.0,The Baby Boom and World War II: A Macroeconomic Analysis,ML
11.0,2016.0,The Berlin Stock Exchange in Imperial Germany: A Market for New Technology?,ML
5.0,1951.0,The Co-Ordinates of Institutionalism,ML
4.0,2009.0,The Conquest of South American Inflation,ML
11.0,1921.0,The Corporation School and Its Place in a Scheme of Business Education,ML
4.0,2002.0,"The Demand for Money, Financial Innovation, and the Welfare Cost of Inflation: An Analysis with Household Data",ML
12.0,2008.0,The Demographic Transition and the Sexual Division of Labor,ML
5.0,1990.0,The Dynamo and the Computer: An Historical Perspective on the Modern Productivity Paradox,ML
2.0,1918.0,The Economic Function of the Common Law,ML
4.0,1934.0,The Economic History of Modern Europe: Two New Manuals,ML
6.0,1962.0,The Economic Implications of Learning by Doing,ML
2.0,1947.0,The Economic Mind in American Civilization: A Review,ML
1.0,1999.0,"The Economics of Career Concerns, Part I: Comparing Information Structures",ML
6.0,1990.0,"The Economics of Modern Manufacturing: Technology, Strategy, and Organization",ML
6.0,1967.0,The Economics of Technological Change and the Demise of the Sharecropper,ML
5.0,2017.0,The Economist as Plumber,ML
6.0,1939.0,The Effect of Modern Technological Conditions upon the Employment of Labor,ML
9.0,2006.0,The Effect of School Choice on Participants: Evidence from Randomized Lotteries,ML
8.0,1926.0,"The Effect of the American Embargo, 1807-1809, on the New England Cotton Industry",ML
3.0,1924.0,The Emancipation of Economics,ML
2.0,2012.0,The Environment and Directed Technical Change,ML
2.0,2011.0,The Evolution of Cooperation in Infinitely Repeated Games: Experimental Evidence,ML
12.0,1943.0,"The Evolutionist Revolt Against Classical Economics: II. In England--James Steuart, Richard Jones, Karl Marx",ML
5.0,1960.0,The Evolving Low-Income Problems in Agriculture,ML
10.0,1977.0,"The Existence of Futures Markets, Noisy Rational Expectations and Informational Externalities",ML
8.0,1973.0,The Expansion of Firms,ML
7.0,1967.0,The Explanation of Productivity Change,ML
5.0,2014.0,The Future of US Economic Growth,ML
5.0,2008.0,The Future of the IMF and the World Bank,ML
11.0,1951.0,The Harvest Labor Market in California,ML
10.0,1906.0,The History of Industrial Employment of Women in the United States: An Introductory Study,ML
11.0,1968.0,The Impact of the Labor Market Upon the Design and Selection of Productive Techniques Within the Manufacturing Plant,ML
6.0,1905.0,The Industrial Capacity of the German,ML
3.0,1919.0,The Institutional Approach to Economic Theory,ML
9.0,1897.0,The International Typographical Union,ML
9.0,1994.0,"The Learning Curve, Market Dominance, and Predatory Pricing",ML
2.0,1941.0,"The Meaning of ""Price Policy""",ML
3.0,1931.0,The Modern Merger Movement--Discussion,ML
9.0,2003.0,The Most Technologically Progressive Decade of the Century,ML
9.0,1979.0,The Narrowing of Black-White Wage Differentials is Illusory,ML
1.0,1911.0,The New Apprenticeship,ML
9.0,1897.0,The New Theories of Economics,ML
8.0,1932.0,The Newer Economics and the Control of Economic Activity,ML
8.0,1993.0,The O-Ring Theory of Economic Development,ML
9.0,1990.0,"The Origins of American Industrial Success, 1879-1940",ML
2.0,1968.0,The Political Economy of Import-Substituting Industrialization in Latin America,ML
7.0,1893.0,The Problem of Economic Education,ML
5.0,1921.0,The Problem of Graduate Training in Personnel Administration,ML
3.0,1950.0,The Process of Technological Innovation: The Launching of a New Scientific Industry,ML
1.0,1954.0,The Production Function and the Theory of Capital,ML
3.0,1985.0,"The Production Process in a Competitive Economy: Walrasian, Neo-Hobbesian, and Marxian Models",ML
5.0,2006.0,"The Quiet Revolution That Transformed Women's Employment, Education, and Family",ML
6.0,2018.0,The Race between Man and Machine,ML
3.0,1910.0,The Rationality of Economic Activity,ML
3.0,1915.0,The Relation of Education to Industrial Efficiency: The Study of the General Principles of Administration,ML
2.0,1941.0,The Relationship between Total Output and Man-Hour Output in American Manufacturing Industry,ML
5.0,1913.0,The Relationship of Scientific Management to Labor,ML
12.0,1985.0,The Relevance of Quasi Rationality in Competitive Markets,ML
6.0,1918.0,The Requisites of a National Food Policy,ML
3.0,1912.0,The Restriction of Immigration,ML
11.0,1917.0,The Revenue System of Kentucky: A Study in State Finance,ML
10.0,2002.0,The Rise of Mass Consumption Societies,ML
3.0,1916.0,The Role of Money in Economic Theory,ML
5.0,1953.0,The Role of Technology in Economic Theory,ML
2.0,1920.0,The Scope and Nature of the Labor Turnover Problem,ML
10.0,2014.0,The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,ML
3.0,1957.0,The Simple Analytics of Welfare Maximization,ML
11.0,2003.0,The Skill Content of Recent Technological Change: An Empirical Exploration,ML
3.0,1917.0,The Social and Economic Background of Woodrow Wilson,ML
9.0,1976.0,The Specification of Adaptive Expectations in Continuous Time Dynamic Economic Models,ML
5.0,1963.0,The Speed of Response of Firms to New Techniques,ML
6.0,1913.0,The Spirit and Social Significance of Scientific Management,ML
4.0,1948.0,The Supreme Court and the Architects of Economic Legislation,ML
10.0,1959.0,The Tata Steel Strike: Some Dilemmas of Industrial Relations in a Developing Economy,ML
12.0,1950.0,The Teaching of Undergraduate Economics,ML
4.0,2009.0,The Technology Cycle and Inequality,ML
6.0,1975.0,"The Theory of ""Screening,"" Education, and the Distribution of Income",ML
9.0,1899.0,The Theory of the Leisure Class,ML
6.0,1996.0,The Timing and Incidence of Exploratory Drilling on Offshore Wildcat Tracts,ML
4.0,2015.0,The U-Shapes of Occupational Mobility,ML
11.0,1948.0,The Union as a Monopoly,ML
8.0,1933.0,The Unity of Veblen's Theoretical System,ML
9.0,1945.0,The Use of Knowledge in Society,ML
5.0,1940.0,The Variation in Wage-Ratios,ML
4.0,2012.0,The Welfare Effects of Bundling in Multichannel Television Markets,ML
1.0,2009.0,The Welfare Effects of Incentive Schemes,ML
3.0,1976.0,The Xistence of X-Efficiency,ML
3.0,2018.0,The “Pupil” Factory,ML
3.0,1971.0,Theoretical Assumptions and Nonobserved Facts,ML
6.0,1959.0,Theories of Decision-Making in Economics and Behavioral Science,ML
3.0,1967.0,"Theories of the Firm: Marginalist, Behavioral, Managerial",ML
12.0,1929.0,Thorstein Bundy Veblen: 1857-1929,ML
6.0,1960.0,Titles of New Books,ML
3.0,1926.0,Topics in Economic History,ML
5.0,1974.0,Towards an Economic Theory of Replacement Investment,ML
12.0,1923.0,Trade Union Development in Soviet Russia,ML
3.0,1894.0,Trade Unionism and the Evolution of the Typesetting Machine,ML
8.0,1962.0,Traditional Production in Primitive African Economies,ML
7.0,1997.0,Training and Innovation in an Imperfect Labour Market,ML
6.0,2018.0,Trucks without Bailouts,ML
12.0,2002.0,Turnover of Used Durables in a Stationary Equilibrium: Are Older Goods Traded More?,ML
9.0,1930.0,Unemployment and Technical Progress in Commercial Printing,ML
6.0,1966.0,"Unemployment, Production Functions, and Effective Demand",ML
6.0,1999.0,Unequal Treatment of Identical Agents in Cournot Equilibrium,ML
8.0,1952.0,United Nations Primer for Development,ML
11.0,1899.0,University Settlements: Their Point and Drift,ML
12.0,1917.0,Unknown,ML
6.0,1944.0,Unknown,ML
6.0,1944.0,Unknown,ML
9.0,1958.0,Unknown,ML
10.0,1913.0,Unknown,ML
6.0,1992.0,Unknown,ML
6.0,1952.0,Unknown,ML
6.0,1906.0,Unknown,ML
3.0,1967.0,Unknown,ML
10.0,1951.0,Unknown,ML
8.0,1951.0,Unknown,ML
5.0,2017.0,Using Causal Forests to Predict Treatment Heterogeneity: An Application to Summer Jobs,ML
3.0,1943.0,Using Private Business Agencies to Achieve Public Goals in the Postwar World,ML
5.0,1997.0,Using Randomization to Break the Curse of Dimensionality,ML
3.0,2018.0,VERY SIMPLE MARKOV-PERFECT INDUSTRY DYNAMICS: THEORY,ML
3.0,2012.0,VOTE-BUYING AND RECIPROCITY,ML
1.0,1966.0,Vintage Capital Models and Econometric Production Functions,ML
3.0,2018.0,WHO SHOULD BE TREATED? EMPIRICAL WELFARE MAXIMIZATION METHODS FOR TREATMENT CHOICE,ML
3.0,1912.0,Wage Boards in England,ML
2.0,1919.0,Wage Theory and Theories,ML
11.0,2000.0,Walrasian Economics in Retrospect,ML
5.0,2017.0,Wearable Technologies and Health Behaviors: New Data and New Methods to Understand Population Health,ML
5.0,2017.0,Which Entrepreneurs are Coachable and Why?,ML
5.0,2010.0,Why Do Firms in Developing Countries Have Low Productivity?,ML
11.0,1998.0,Why Do New Technologies Complement Skills? Directed Technical Change and Wage Inequality,ML
11.0,2001.0,Why Do Temporary Help Firms Provide Free General Skills Training?,ML
12.0,1989.0,Why Do Wages Increase with Tenure? On-the-Job Training and Life-Cycle Wage Growth Observed within Firms,ML
3.0,1920.0,Will Agricultural Prices Fall?,ML
5.0,1996.0,With What Skills Are Computers a Complement?,ML
8.0,1925.0,Workers' Rights and the Introduction of Machinery in the Men's Clothing Industry,ML
10.0,1887.0,Workmen's Insurance in Germany,ML
1.0,2004.0,Worms: Identifying Impacts on Education and Health in the Presence of Treatment Externalities,ML
10.0,2017.0,“Data Monkeys”,ML
